         754262 function calls (753796 primitive calls) in 20.095 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       91    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      260    0.001    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/charsetprober.py:32(__init__)
      272    0.001    0.000    0.001    0.000 {method 'character_set_name' of '_mysql.connection' objects}
       10    0.001    0.000    2.710    0.271 /usr/lib/python2.6/dist-packages/chardet/universaldetector.py:61(feed)
      261    0.001    0.000    0.001    0.000 {method 'tell' of 'cStringIO.StringO' objects}
        1    0.001    0.001    0.001    0.001 /usr/lib/python2.6/dist-packages/chardet/utf8prober.py:28(<module>)
       60    0.001    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/mbcharsetprober.py:35(__init__)
      183    0.001    0.000    0.001    0.000 {getattr}
       11    0.001    0.000    2.737    0.249 /home/renlu/Dropbox/Private/devel/hyer/hyer/document.py:11(_get_charset)
       11    0.001    0.000    0.604    0.055 ./webcrawler.py:173(handle_new_doc)
       12    0.001    0.000    7.096    0.591 /usr/lib/python2.6/httplib.py:347(_read_status)
      373    0.001    0.000    0.001    0.000 /usr/lib/python2.6/sre_compile.py:24(_identityfunction)
       22    0.001    0.000    0.003    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/urlfunc.py:21(get_dir)
      166    0.001    0.000    0.001    0.000 /usr/lib/python2.6/rfc822.py:209(islast)
      210    0.001    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/codingstatemachine.py:37(reset)
      110    0.001    0.000    0.001    0.000 /usr/lib/python2.6/urllib2.py:449(isclass)
       11    0.001    0.000    9.341    0.849 /usr/lib/python2.6/urllib2.py:371(open)
       12    0.001    0.000    0.001    0.000 {method 'sendall' of '_socket.socket' objects}
       11    0.001    0.000    9.370    0.852 /home/renlu/Dropbox/Private/devel/hyer/hyer/browser.py:21(get)
      114    0.001    0.000    0.001    0.000 /usr/lib/pymodules/python2.6/MySQLdb/cursors.py:316(_post_get_result)
      130    0.001    0.000    0.065    0.001 /usr/lib/python2.6/dist-packages/chardet/charsetprober.py:54(filter_without_english_letters)
       22    0.001    0.000    0.001    0.000 /usr/lib/python2.6/copy.py:300(_reconstruct)
      186    0.001    0.000    0.001    0.000 {method 'read' of 'cStringIO.StringO' objects}
       12    0.001    0.000    0.130    0.011 /usr/lib/python2.6/mimetools.py:24(__init__)
       12    0.001    0.000    0.001    0.000 /usr/lib/python2.6/mimetools.py:33(parsetype)
       11    0.001    0.000    0.002    0.000 /home/renlu/Dropbox/Private/devel/hyer/hyer/site_holder.py:40(visited)
       52    0.001    0.000    0.001    0.000 /usr/lib/python2.6/sre_parse.py:231(_class_escape)
       11    0.001    0.000    0.003    0.000 /usr/lib/python2.6/_MozillaCookieJar.py:47(_really_load)
       70    0.001    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/codingstatemachine.py:31(__init__)
       10    0.001    0.000    0.002    0.000 /usr/lib/python2.6/dist-packages/chardet/sjisprober.py:37(__init__)
       22    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      108    0.001    0.000    0.001    0.000 {max}
      212    0.001    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/hebrewprober.py:172(is_final)
       11    0.001    0.000    0.014    0.001 /usr/lib/pymodules/python2.6/MySQLdb/__init__.py:78(Connect)
        1    0.001    0.001   19.864   19.864 /home/renlu/Dropbox/Private/devel/hyer/hyer/spider.py:119(run_loop)
      144    0.001    0.000    0.001    0.000 {setattr}
      150    0.001    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/sbcharsetprober.py:97(get_confidence)
       70    0.000    0.000    0.001    0.000 /usr/lib/python2.6/sre_compile.py:360(_simple)
       60    0.000    0.000    0.000    0.000 /usr/lib/python2.6/dist-packages/chardet/jpcntx.py:127(reset)
      206    0.000    0.000    0.000    0.000 /usr/lib/python2.6/robotparser.py:126(can_fetch)
      166    0.000    0.000    0.000    0.000 /usr/lib/python2.6/rfc822.py:219(iscomment)
       11    0.000    0.000    0.006    0.001 /usr/lib/python2.6/cookielib.py:1630(extract_cookies)
       60    0.000    0.000    0.001    0.000 /usr/lib/python2.6/dist-packages/chardet/chardistribution.py:40(__init__)
       11    0.000    0.000    2.815    0.256 /home/renlu/Dropbox/Private/devel/hyer/hyer/document.py:59(__init__)
